====================================================================================================
MySQL 表分割索引
====================================================================================================

源文件: C:\Users\wcss\Desktop\mysqlToPg\bigdata-web-data.sql
总表数: 214
总批次: 11
每批次表数: 20

====================================================================================================

表ID      表名                                                 批次           源文件行号           批次文件
T202     t_waf_block                                        BATCH_11     17375-17395     batch_11_tables_201-214_mysql.sql
T203     t_web_asset                                        BATCH_11     17395-17415     batch_11_tables_201-214_mysql.sql
T204     t_web_info                                         BATCH_11     17415-17466     batch_11_tables_201-214_mysql.sql
T205     t_web_sub                                          BATCH_11     17466-17484     batch_11_tables_201-214_mysql.sql
T206     t_webscan_issuedata                                BATCH_11     17484-17503     batch_11_tables_201-214_mysql.sql
T207     t_webscan_issuetype                                BATCH_11     17503-17545     batch_11_tables_201-214_mysql.sql
T208     t_webscan_site                                     BATCH_11     17545-17586     batch_11_tables_201-214_mysql.sql
T209     t_work_order                                       BATCH_11     17586-17621     batch_11_tables_201-214_mysql.sql
T210     t_work_order_operation_history                     BATCH_11     17621-17641     batch_11_tables_201-214_mysql.sql
T211     t_work_order_status_trace                          BATCH_11     17641-17660     batch_11_tables_201-214_mysql.sql
T212     t_work_order_tags_relation                         BATCH_11     17660-17679     batch_11_tables_201-214_mysql.sql
T213     t_work_order_user_org_relation                     BATCH_11     17679-17700     batch_11_tables_201-214_mysql.sql
T214     updateinfo                                         BATCH_11     17700-18026     batch_11_tables_201-214_mysql.sql
